ID,派發機關數量,派發機關
44111,1,臺北市政府
44076,1,金融監督管理委員會
44075,1,內政部
44043,1,衛生福利部
44017,1,行政院農業委員會
44009,1,行政院農業委員會
43987,1,行政院農業委員會
43974,1,經濟部
43948,1,經濟部
43911,1,衛生福利部
43910,1,經濟部
43673,1,內政部
43589,1,行政院農業委員會
43586,1,經濟部
43542,1,交通部
43527,1,台灣電力股份有限公司
43469,1,內政部
43468,2,考選部,銓敘部
43461,1,內政部
43267,1,財政部
43209,1,本平臺營運窗口
43162,1,衛生福利部
43146,1,本平臺營運窗口
43141,1,教育部
43123,1,經濟部
42867,1,臺北市政府
42863,1,教育部
42766,1,金融監督管理委員會
42579,1,經濟部
42517,1,金融監督管理委員會
42510,1,臺北市政府
42379,1,勞動部
42333,1,國家通訊傳播委員會
42323,1,文化部
42114,1,台灣電力股份有限公司
42096,1,國家發展委員會
41863,1,臺中市政府
41724,1,內政部
41701,1,衛生福利部
41656,1,教育部
41611,1,行政院人事行政總處
41578,1,臺中市政府
41527,1,金融監督管理委員會
41414,1,交通部
41334,1,內政部
41328,1,經濟部
41305,1,內政部
40592,1,行政院主計總處
40588,1,行政院主計總處
40587,1,勞動部
40579,1,勞動部
40578,1,勞動部
40577,1,勞動部
40565,1,教育部
40564,1,教育部
40563,1,教育部
40562,1,教育部
40538,1,勞動部
40336,1,本平臺營運窗口
40335,1,臺中市政府
40263,1,本平臺營運窗口
40238,1,司法院
40146,1,桃園市政府
40051,1,法務部
40049,1,本平臺營運窗口
39602,1,財政部
39601,1,教育部
39600,1,行政院主計總處
39599,11,嘉義市政府,基隆市政府,屏東縣政府,桃園市政府,臺中市政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
39598,1,考選部
39597,1,教育部
39596,1,教育部
